timestamp,amplitude_V,is_peak
5.393000,-0.00012940,1
6.226000,-0.00011614,1
7.060000,-0.00011379,1
7.893000,-0.00012475,1
8.726000,-0.00011808,1
9.560000,-0.00011296,1
10.393000,-0.00011945,1
11.226000,-0.00013749,1
12.060000,-0.00010518,1
12.893000,-0.00012553,1
13.726000,-0.00011733,1
14.560000,-0.00010829,1
15.393000,-0.00012115,1
16.226000,-0.00013311,1
17.060000,-0.00012657,1
17.893000,-0.00011973,1
18.726000,-0.00012930,1
19.560000,-0.00011581,1
20.393000,-0.00010781,1
21.226000,-0.00011016,1
22.060000,-0.00011727,1
