timestamp,ch1_ecg_V
-0.086082,0.00001133
-0.085082,0.00002159
-0.084082,-0.00000674
-0.083082,0.00001689
-0.082082,0.00001331
-0.081082,-0.00001595
-0.080082,0.00003594
-0.079082,0.00001148
-0.078082,-0.00001273
-0.077082,0.00005272
-0.076082,0.00003195
-0.075082,-0.00001149
-0.074082,0.00000696
-0.073082,-0.00002937
-0.072082,0.00002646
-0.071082,-0.00003882
-0.070082,-0.00002749
-0.069082,0.00002336
-0.068082,-0.00002399
-0.067082,-0.00003881
-0.066082,-0.00000381
-0.065082,0.00004378
-0.064082,0.00006573
-0.063082,-0.00006097
-0.062082,-0.00008138
-0.061082,-0.00001046
-0.060082,0.00000874
-0.059082,0.00003938
-0.058082,0.00004935
-0.057082,-0.00000419
-0.056082,-0.00002574
-0.055082,-0.00003488
-0.054082,0.00000979
-0.053082,-0.00002034
-0.052082,-0.00006465
-0.051082,0.00003455
-0.050082,0.00002957
-0.049082,-0.00003739
-0.048082,0.00001074
-0.047082,-0.00002875
-0.046082,-0.00001481
-0.045082,0.00001301
-0.044082,0.00002310
-0.043082,0.00003112
-0.042082,-0.00000382
-0.041082,-0.00001461
-0.040082,0.00002470
-0.039082,-0.00004168
-0.038082,0.00003672
-0.037082,0.00003716
-0.036082,0.00000323
-0.035082,-0.00001946
-0.034082,0.00002154
-0.033082,0.00003707
-0.032082,-0.00000249
-0.031082,-0.00006948
-0.030082,0.00003472
-0.029082,0.00003672
-0.028082,-0.00002036
-0.027082,-0.00002576
-0.026082,-0.00001127
-0.025082,-0.00001026
-0.024082,-0.00000267
-0.023082,0.00002628
-0.022082,0.00003683
-0.021082,0.00001885
-0.020082,-0.00002476
-0.019082,-0.00002124
-0.018082,-0.00003544
-0.017082,0.00003944
-0.016082,0.00004636
-0.015082,-0.00000281
-0.014082,0.00005834
-0.013082,-0.00003217
-0.012082,-0.00001223
-0.011082,-0.00001417
-0.010082,0.00003415
-0.009082,0.00001556
-0.008082,0.00003702
-0.007082,-0.00000199
-0.006082,-0.00006333
-0.005082,-0.00001805
-0.004082,-0.00004414
-0.003082,0.00001772
-0.002082,-0.00003058
-0.001082,-0.00001849
-0.000082,-0.00001165
0.000918,-0.00005711
0.001918,0.00002517
0.002918,-0.00002054
0.003918,-0.00003197
0.004918,-0.00002628
0.005918,-0.00000752
0.006918,0.00007082
0.007918,0.00000200
0.008918,-0.00005890
0.009918,-0.00002283
0.010918,0.00000856
0.011918,0.00003506
0.012918,0.00002771
-0.062105,-0.00000920
-0.061105,0.00008900
-0.060105,0.00001842
-0.059105,-0.00000906
-0.058105,-0.00001634
-0.057105,-0.00000701
-0.056105,-0.00005198
-0.055105,0.00002015
-0.054105,0.00002448
-0.053105,-0.00001261
-0.052105,-0.00000465
-0.051105,0.00004382
-0.050105,-0.00000915
-0.049105,0.00000756
-0.048105,-0.00000510
-0.047105,0.00002311
-0.046105,-0.00000748
-0.045105,0.00003219
-0.044105,0.00000135
-0.043105,0.00002671
-0.042105,0.00006031
-0.041105,0.00002277
-0.040105,0.00005012
-0.039105,0.00002403
-0.038105,0.00002906
-0.037105,0.00004256
-0.036105,-0.00003128
-0.035105,0.00001269
-0.034105,-0.00001671
-0.033105,-0.00000164
-0.032105,0.00001694
-0.031105,0.00003417
-0.030105,0.00003851
-0.029105,0.00003053
-0.028105,0.00003578
-0.027105,0.00000162
-0.026105,0.00001301
-0.025105,0.00003792
-0.024105,-0.00000755
-0.023105,0.00000591
-0.022105,0.00000566
-0.021105,0.00000740
-0.020105,0.00002501
-0.019105,-0.00000157
-0.018105,0.00002714
-0.017105,0.00009316
-0.016105,0.00002972
-0.015105,0.00010778
-0.014105,0.00004597
-0.013105,0.00002386
-0.012105,0.00000373
-0.011105,0.00005473
-0.010105,0.00007169
-0.009105,0.00009997
-0.008105,0.00004314
-0.007105,0.00000196
-0.006105,0.00007373
-0.005105,-0.00001701
-0.004105,0.00003385
-0.003105,0.00010398
-0.002105,0.00003611
-0.001105,0.00005911
-0.000105,0.00005542
0.000895,0.00006354
