timestamp,amplitude_V,is_peak
37.160000,-0.00012297,1
37.993000,-0.00012336,1
38.826000,-0.00012846,1
39.660000,-0.00011367,1
40.493000,-0.00012262,1
41.326000,-0.00012998,1
42.160000,-0.00011966,1
42.993000,-0.00011923,1
43.826000,-0.00012888,1
44.660000,-0.00010212,1
45.493000,-0.00011773,1
46.326000,-0.00013173,1
47.160000,-0.00011835,1
47.993000,-0.00012286,1
48.826000,-0.00012316,1
49.660000,-0.00010556,1
50.493000,-0.00011269,1
51.326000,-0.00012239,1
52.160000,-0.00012120,1
52.993000,-0.00011252,1
53.826000,-0.00012580,1
54.660000,-0.00011341,1
55.493000,-0.00010442,1
56.326000,-0.00011812,1
57.160000,-0.00010398,1
57.993000,-0.00013518,1
58.826000,-0.00012885,1
59.660000,-0.00011319,1
60.493000,-0.00012007,1
61.326000,-0.00011707,1
62.160000,-0.00010413,1
62.993000,-0.00011946,1
63.826000,-0.00013004,1
64.660000,-0.00011447,1
65.493000,-0.00010792,1
66.326000,-0.00012295,1
67.160000,-0.00012842,1
67.993000,-0.00013037,1
68.826000,-0.00011604,1
69.660000,-0.00011342,1
70.493000,-0.00012493,1
71.326000,-0.00012429,1
72.160000,-0.00010905,1
72.993000,-0.00011879,1
73.826000,-0.00012302,1
74.660000,-0.00012125,1
75.493000,-0.00013463,1
76.326000,-0.00012432,1
77.160000,-0.00011961,1
77.993000,-0.00011449,1
78.826000,-0.00011158,1
79.660000,-0.00010696,1
80.493000,-0.00012213,1
81.326000,-0.00011695,1
82.160000,-0.00012841,1
